FILENAME	SHELFMARK	EXTENT	lang/script	LEAF SIZE	WRITTEN SIZE	subject - 1	subject - 2	MATERIAL	MEDIUM	SCRIPT	HANDS	DECORATION	CONDITION	WRITTEN LINES	LAYOUT	FOLIATION	ADDITIONS	PROVENANCE & ACQUISITION	SUMMARY	WORK NUMBER	ROMANIZED AUTHOR NAME(S)	TIBETAN SCRIPT AUTHOR NAME(S)	ROMANIZED TITLE(S)	TIBETAN SCRIPT TITLE(S)	ROMANIZED MARGIN TITLE(S)	TIBETAN SCRIPT MARGIN TITLE(S)	INCIPIT	EXPLICIT	COLOPHON	NOTES	BIBLOGRAPHIC REFERENCE(S)
	MS. Tibet. a. 9.31 (R)																			31	zhang lo tsha ba	ཞང་ལོ་ཚ་བ	'og sgo bde chen mkha' 'gro'i snying khrag bzhugs pa	འོག་སྒོ་བདེ་ཆེན་མཁའ་འགྲོའི་སྙིང་ཁྲག་བཞུགས་པ	ba	བ	na mo gu ru de wa Da ki nI/_dri med rnam dag chos kyi sku//_bde stong dbyer med lhan cig skyes//_yid bzhin nor 'dra dgos 'dod 'byung //_bde chen bde ba'i 'byung gnas kyi//_bla ma yi dam mkha' 'gro la//_sgo gsum dangs bas phyag 'tshal lo//	yang snying bde chen lam khyer ba'i//_snyan rgyud dri med bdud rtsi'i rgyud// nor 'khrul med par bkod pa yis//_pha mar gyur pa'i 'gro ba rnams// bde ba chen po'i don rtogs nas//_sku bzhi sangs rgyas thobs par shog/ /_snyan rgyud yid bzhin nor bu yi//_shes rab ye shes kyi dbang dang 'brel ba//_'og sgo bde ba chen po'i gdams ngag//_mkha' 'gro ma rnams kyi snying khrag lta bu rdzogs so//_rnal 'byor dbang phyug zhang lo tsh+tsa ba s/_rba ban d+he d+ha ra shrI la gdams pa'i tshig brgyud rnams rdzogs so//_\uF042/_dge legs 'phel//			
	MS. Tibet. a. 9.32 (R)																			32			mkha' 'gro'i mtshan brtags	མཁའ་འགྲོའི་མཚན་བརྟགས	b+ha	བྷ	bde ba'i khams gshegs bde chen mgon po la//_bde ba'i sems kyi bde legs btud byas te/ /_bde bas mtshon byed bde ba rigs kyi yum//_brtag pa'i mtshan nyid bde ster dbye bar bya/	de dang 'grogs na duH kha skye zhing dam tshig nyams pa'o//_de yang 'du shes rags shing rtsod la dga'//_dad ldan sdig la mi 'dzem dang //_skad cig tsam yang 'grogs mi bya//_zhes so//_de rab gsum mchog tu blangs// 'bring gsum rjes su bzung //_tha ma gsum spangs bar bya//_bkra shis par gyur cig//_dge'o//_bkra shis par gyur cig//			
	MS. Tibet. a. 9.33 (R)																			33			sbyor thabs bzhi'i man ngag	སྦྱོར་ཐབས་བཞིའི་མན་ངག	ya	ཡ	gdong gcig ma bya ba rdo rje dang mi 'phrad par ting du nub pa dang gcig/_rtsa glang po can blugs ma'i rigs zhes pa dang /_dung can ma shin tu 'byed dka' ba dang /_bzhi pa pad+ma can 'jam pa 'dred nas nang du mi 'phrad pa'o/ /	bzhi pa pad+ma can la rlabs lta bu'i sbyor ba bya ste/_shes rab ma la zur nas char sgroms su zhugs te bsrubs pas rtsa nang du 'phrad par 'gyur ro//_dang po'i dus su rlung gi ngad langs pas bde ba cher skyes te chun dang yur ba 'phrad pa bzhin du bde ba skye bar 'gyur ro//_sbyor thabs bzhi'i gdams ngag rje btsun pu la ha ri nas brgyud pa'o/ /_dge'o//			
	MS. Tibet. a. 9.34 (R)																			34			gsang khrid sgrub pa	གསང་ཁྲིད་སྒྲུབ་པ	ra	ར	bla ma dam pa rnams la phyag 'tshal lo//_de la pho nya'i lam thabs shes rab 'dzoms pa gcig gis sgrub dgos ste/_de la skyon yon tan du bya na 'ching ba cig /_mi 'ching ba tsam dang gnyis/_grol ba dang gsum mo//_de la lha so so'i dag pa dang de bzhin nyid kyi dag pa dang /_rang rig gi dag pa dang gsum mo//	ye shes mthong ba yin no//_sangs rgyas mthong ba yin no//_bde bar gshegs pa nyams su myong ba yin no//_sdig pa thams cad dang bral ba yin no//_sar+ba mang ga laM//			
	MS. Tibet. a. 9.35 (R)																			35	rje btsun ras pa		dpal bde mchog snyan rgyud kyi 'og sgo las zab mo gdams pa'i tho yig	དཔལ་བདེ་མཆོག་སྙན་རྒྱུད་ཀྱི་འོག་སྒོ་ལས་ཟབ་མོ་གདམས་པའི་ཐོ་ཡིག	la	ལ	na mo dz+&A na DA ki nI ye/_bud med chags pa che ba dang //_de bzhin skyes bu dar la babs//_lang tsho bde ba phun sum tshogs//_gsang ba thabs kyi snod mchog yin//_'dod chags bral dang ma ning dang //_ma smin pa dang dka' thub dang //_log par 'khyams shing mi 'jug pa//_gsang sngags thabs las 'das pa yin//	bde chen 'dren pa'i lam gyi mchog//_dus gsum sangs rgyas thams cad kyi//_bgrod pa gcig pa zab mo'i don//_phye 'di dngos po'i bdud 'joms shog// rje btsun ras pa 'i tho yig rdzogs so//			
	MS. Tibet. a. 9.36 (R)																			36			gsang khrid kyi bsnyen pa lhan cig skyes pa'i them skas	གསང་ཁྲིད་ཀྱི་བསྙེན་པ་ལྷན་ཅིག་སྐྱེས་པའི་ཐེམ་སྐས	wa	ཝ	bla ma grub thob rnams la phyag 'tshal lo//_gnas gsum mkha' 'gro'i tshogs la phyag 'tshal lo//_byang chub sems las su bkol bas bde ba chen po'i lam du 'gro ba gsung gi gnad thugs kyi rin po che 'chang ba gsang khrid 'di la gnyis te/_bde ba rang rig gsal ba ste zhes pa/_bsnyen pa dang /_sgrub pa'o//	spyir phyag rgya rab 'bring gsum du gsungs te rtsa rlung gis bye brag gis/_rab kyis thig le byung a tshor cing ldog shes pa/_'bring gi byung ba tshor ldog mi shes/_tha mas byung ba yang mi tshor bzlog kyang mi shes so//_dang po de dang rtsa 'phrad na lan gcig gi rtsol ba med par 'grub la/_phyis gzhan la spyod pa thams cad lam du slong bar 'gyur ro//_shu b+haM/ /			
	MS. Tibet. a. 9.37 (R)																			37			lus med mkha' 'gro'i chos skor dgu brdar bstan pa	ལུས་མེད་མཁའ་འགྲོའི་ཆོས་སྐོར་དགུ་བརྡར་བསྟན་པ	sha	ཤ	dpal rdo rje mkha' 'gro mas/_blta sgom spyod pa gsum gyi brdar bstan pa/_pad+ma seng ge glang chen gsum spyod pa'i brdar bstan pa'o//_pad ma 'dam gyi skyon gyis ma gos ltar sems yid la 'khor ba'i dri mas ma gos pa'o/ /	rang bzhin chos nyid dbyings nas nyid gnas pa/_snang ba dag par 'char ba/_sems 'od gsal du song ba/_sku gsum lhun gyis grub pa/_ngo bo spros pa dang bral ba/_skye med yin pas rtsal du med pa'o//_rdo rje tshig rkang yin no/ /_dpal rdo rje mkha' 'gro ma lus med mkha' 'gro'i chos skor dgu zhes bya ba brdar bstan pa dang bcas pa'o//			
	MS. Tibet. a. 9.38 (R)																			38			bsam mi khyab don bzhi pa	བསམ་མི་ཁྱབ་དོན་བཞི་པ	ha	ཧ	spro ba bskyed pa'i grogs mdzad pa'i//_grub thob rnams la phyag 'tshal lo/_bsam gyis mi khyab don bshad pa//_rnam pa bzhi ru shes par bya//_thabs dang spyod lam rang bzhin dang //_thams cad 'dus pa'i lung dang bzhi/ /	bsam gyis mi khyab don bzhi pa//_ gling ka ras pa s dbu mdzad pa'i//_skal ldan rnams kyi zhu phul nas//_rnal 'byor bdag gi bstan pa in//_bka' lung rin po che dang 'dra//_mos dang gus pas gces par mdzod//			
	MS. Tibet. a. 9.39 (R)																			39			ga gdar gyi don bsdu ba'i man ngag	ག་གདར་གྱི་དོན་བསྡུ་བའི་མན་ངག	kSa	ཀྵ	na mo gu ru de wa DA ki nI/_ga dar gyi don bsdu ba ni/_theg pa chen po'i chos thams cad mdor bsdu na gnyis ste/_rgyu sa dang pha rol tu phyin pa'i theg pa dang /_'bras bu gsang sngags rdo rje theg pa'o//_dang po lam lnga sa bcu /	snyan brgyud gting mtha' dpag par dka' ba'i rgya mtsho las//_zla 'dra bla ma'i gsung gi 'od zer 'phog pa las//_legs bshad bdud rtsi'i chu rgyun byung las 'gro ba yi//_'ching byed srid pa'i mngon zhen gdung ba zhi bar shog//_dpal bde mchog 'khor lo'i man ngag snyan brgyud yid bzhin nor bu zhes bya ba las ga gdar gyi don bsdu ba'i gdams ngag rdzogs so// bkra shis///			
	MS. Tibet. a. 9.4 (R)																			4	nA ro pa	ནཱ་རོ་པ	dbang gi bya ba mdor bsdus	དབང་གི་བྱ་བ་མདོར་བསྡུས	U	ཨཱུ	rgya gar skad du /_Se ka ka Ta paN kShi pa ta/_bod skad du/_dbang gi bya ba mdor bsdus /_dpal rdo rje sems dpa' la phyag 'tshal lo//_gang gi drin gyi bde chen nyid//_skad cig nyid la 'char ba gang //_bla ma rin chen lta bu'i sku//_rdo rje can zhabs pad la 'dud//_dang po'i las can rnams dga' ba'i//_dkyil 'khor cho ga bzhad par bya//_gsol ba 'debs dang bsnyen pa dang //_sa dang sta gon thig dang mtshon/_dal sgrub dang mchod pa dang //_bdag nyid 'jug dang dbang bskur dang //_yon 'bul ba dang bcu gcig go//	gang zhig rtag du 'dod gyur pa//_lha dang lha min mi rnams te//_'di dag zil gyis mnon par 'gyur//_rgyud 'di ru ni dbang bskur bas//_thams cad kyis ni sgrub pa po//_gang gi bla ma mnyes byed pa//_de yi don kun 'grub pa'i phyir//_bdag gi srog kyang 'bul rigs na//_dngos po gzhan dag lta ci smos//_dpal nA ro pa s mdzad pa rdzogs so//_ mar pa chos kyi blo gros kyis de nyid kyi spyan sngar zhus te bsgyur ba'o//			
	MS. Tibet. a. 9.40 (R)																			40			lus med mkha' 'gro ma'i gdams pa phyi ma gzhung gsum gyi 'grel pa	ལུས་མེད་མཁའ་འགྲོ་མའི་གདམས་པ་ཕྱི་མ་གཞུང་གསུམ་གྱི་འགྲེལ་པ	oM	ཨོཾ	dpal 'khor lo sdom pa la phyag 'tshal lo//_dpal rdo rje mkha' 'gro lus med pa'i chos kyi don bshad par bya ste//_de rtsa rlung dra mig 'khor lo bskor zhes 'byung bas de la dang po rtsa'i don rgyas par bshad na/_rtsa ni lus la gnas pa ste/	'byung ba rlung shas che na shes pa 'phyo/_'gro snying 'dod/_ting nge 'dzin gtad mi zug/_de'i bcos thabs ni/_snying gar sa'i dal gru bzhi ser po dbus su btab pa'o//_rje ras chung pa 'i gsung ci zin pa bris so//_'di la bde chen gsung gi rin chen ma gtogs tshang ngo//			
	MS. Tibet. a. 9.41 (R)																			41			dpal nA ro pa'i phyi nang gsang gsum gyi ro snyoms	དཔལ་ནཱ་རོ་པའི་ཕྱི་ནང་གསང་གསུམ་གྱི་རོ་སྙོམས	ma	མ	bla ma dam pa rnams la phyag 'tshal lo//_bla ma nA ro pa chen po 'i gdams ngag ro snyoms rnams gsum las/_phyi 'byung ba ro snyoms dang /_nang shes pa ro snyoms dang /_gsang ba ting nge 'dzin gyi ro snyoms dang gsum/	gsum pa ting nge 'dzin ro snyoms la stong pa shas che na las rgyu 'bras sgom/_dngos po dang mtshan mar 'dzin pa shas che na chos thams cad kyi gnas lugs phyag rgya chen bsgom/_bla ma rin po che'i zhal nas gsungs pa'i gdams ngag rdzogs so//_dge'o//			
	MS. Tibet. a. 9.42 (R)																			42			ro snyoms phyi'i me long las bshad pa'i gegs sel	རོ་སྙོམས་ཕྱིའི་མེ་ལོང་ལས་བཤད་པའི་གེགས་སེལ	Ni	ཎི	khams kyi rab tu dbye ba yi//_ro snyoms phyi'i me long lta//_zhes pa'i khams kyi dbye ba ni bcu drug/_de dag gi mtshan nyid ni gang ba dang /_gzhom pa dang / bzung ba dang /_bskyed pa dang /_'bud pa rnams pa lnga ni mtshan nyid /	ro drug dag ni bzlog bsten pas//_shin tu stobs ldan nad rnams kyi//_nyes pa ji ltar 'khrugs gyur kyang //_des ni zhi bar nges par 'gro//_rdo rje mkha' 'gro'i tshogs bcad phyed kyi rgya 'grel nas cung zad bsdus te bzhag pa'o //_bkra shis par gyur cig//			
	MS. Tibet. a. 9.43 (R)																			43			bdud dang bgegs phyir bzlog pa'i man ngag gi 'grel pa	བདུད་དང་བགེགས་ཕྱིར་བཟློག་པའི་མན་ངག་གི་འགྲེལ་པ	huM	ཧུཾ	'dir bla ma'i man ngag 'di yin te/_dang por sgrub pa pos 'khor ba 'di na bdag gi ma ma yin pa gzhan med pa ni/_mdo sde las gsungs pas/_bdag gi ma rnams ni shes rab kyi mig dang thabs kyi rkang pa dang bral la/	de bas na sgrub pa pos bla ma dam pa kho na la bsten par bya'o//_de lta bu de bsten pa la de mi 'byung la/_gal te byung na yang myur du bzlog pa yin no gsung bas na rtag tu rang gi sems la lta/_de'i don du bla ma ni nor bu rin po che'i nor can gyis sgrubs pa'o//			
	MS. Tibet. a. 9.44 (R)																			44			bdud dang bgegs phyir bzlog pa'i man ngag bla ma'i zhal gyi bdud rtsi	བདུད་དང་བགེགས་ཕྱིར་བཟློག་པའི་མན་ངག་བླ་མའི་ཞལ་གྱི་བདུད་རྩི	me	མེ	nye pa ma lus skyobs byed bla ma dang //_dpal ldan he ru ka dang phag mor bcas/ mkha' 'gro'i tshogs la'ang gus par btud byas te//_bdud bzlog man ngag ces pa bri bar bya//_gang zhig shin tu khro dang 'dod chags che dang lhag par ni//_gnyid 'byung ba dang shes pa rgod dang de bzhin rab tu ngu bar 'dod//	bdud dang bgegs phyir bzlog pa'i man ngag bla ma dam pa'i zhal gyi bdud rtsi dri ma med pa yi ger bkod pa rdzogs so//_bkra shis//			
	MS. Tibet. a. 9.45 (R)																			45			bya spyod tshogs bsgyur gsang sngags lam gyi gdams pa	བྱ་སྤྱོད་ཚོགས་བསྒྱུར་གསང་སྔགས་ལམ་གྱི་གདམས་པ	hri	ཧྲི	na mo gu ru de wa DA ki nI/_bya spyod tshogs bsgyur gsang sngags lam gyi gdams pa la gsum ste/_lam nyams su blang ba dang /_gdams pa spyi'i gegs bsal ba dang / ga dar gyi don bsdu ba'o/	da lta myong na /_sngar gyi las ngan mdzad pas dga' sgoms la/_de nyid kyi ngo bo blta/ phyis 'byung ba'i sdug bsngal gyis bshags sdom bya'o//_phris dus la bya ba ni bskyed rdzogs bstan/_drod thob pa'i dus su zhi rgyas dbang drag rim pas bya'o//_bya spyod tshogs bsgyur lam gyi gdams pa rdzogs so//_dge legs 'phel bar shog//			
	MS. Tibet. a. 9.46 (R)																			46	pad+ma dkar po	པདྨ་དཀར་པོ	til+li pa'i pra khrid lung bstan gtad rgya	ཏིལླི་པའི་པྲ་ཁྲིད་ལུང་བསྟན་གཏད་རྒྱ	raH	རཿ	rang rig lhan cig skyes kyi sku//_bde mchog 'khor lo bde ba'i mchog//_o rgyan mkha' 'gro sku gsum bdag//_dpa' bo chen pos bstan pa yi//_srog 'chang de yis phris las mdzod//_nga yi dgongs pa ji lta ba rdo rje 'dzin pa'i thugs yin te/	des na snod dang mi ldan par//_'di ni gtad pa'i gnas min pas//_pra khrid tshul ldan shes par mdzod//_pra khrid lung bstan tai lo dus gsum mkhyen pa'i gsung yongs su rdzogs so//_de ltar gtad rgya go 'byed mchan du btab pa 'di yang bla tsang bla mas bskul ba'i ngor pad+ma dkar po s sbyar ba'o/ /			
	MS. Tibet. a. 9.47 (R)																			47	mi la ras pa	མི་ལ་རས་པ	rje mi la'i gtad rgya	རྗེ་མི་ལའི་གཏད་རྒྱ	a	ཨ	e ma ho/_byin rlabs brgyud pa'i rtsal dang ldan//_nyams myong brgyud pa'i snod dang ldan//_mos gus rtogs pa mchog dang ldan//_bu cig ras chung rdo rje grags //_nga yi gdams ngag khyad 'phags 'di//_mkha' 'gro'i lung bstan byung ba dang //_dad gus snod dang ldan pa'i phyir//	bla ma mkha' 'gro'i gsung bzhin du//_snyan nas grod phug dgon pa ru//_ rdo rje rgyal mtshan brtse ba bris//_phyogs dus bde legs ldan gyur cig//_ rje mi la ra s pas ras chung rdo rje grags pa la gtad pa rdzogs so//_dge'o mang+ga laM//			
	MS. Tibet. a. 9.48 (R)																			48			dpal mgon po'i las tshogs	དཔལ་མགོན་པོའི་ལས་ཚོགས	waM	ཝཾ	rgya gar skad du /_ma hA kA la na sa ka/_bod skad du/_nag po chen po'i sgrubs thabs/ dpal he ru ka la phyag 'tshal lo//_rgyal ba'i bstan pa rgyas mdzad pas //_drag cing gtum rngams 'khrugs pa yis//_gdug pa'i tshogs rnams brlag mdzad pa//_nag po 'jig byed la btud nas/	bi spa to ya/ bi spa to ya/_ma ma yak+Sa kar ma ku ru huM phaT/_bsad sngags dam pa'o //_gu gul nag po dang sha chen dang /_yungs dkar gyi dzaM baM gi sngags dang bcas pas tsher ma dang sbyin bsreg bya'o//_sar+ba dza ga taM shu b+ham stu//			
	MS. Tibet. a. 9.5 (R)																			5	nA ro pa	ནཱ་རོ་པ	dpal bde mchog snyan rgyud kyi smin?? lam chen mo phyi rdul tshon la brten pa bum pa'i dbang bskur rin po che gsal ba'i sgron me zhes bya ba zhang lo ts+tsha ba'i mdzad pa'i dkyil chog	དཔལ་བདེ་མཆོག་སྙན་རྒྱུད་ཀྱི་སྨིན་ལམ་ཆེན་མོ་ཕྱི་རྡུལ་ཚོན་ལ་བརྟེན་པ་བུམ་པའི་དབང་བསྐུར་རིན་པོ་ཆེ་གསལ་བའི་སྒྲོན་མེ་ཞེས་བྱ་བ་ཞང་ལོ་ཙྪ་བའི་མཛད་པའི་དཀྱིལ་ཆོག	ri	རི	na mo gu ru de wa Da ki ni/_sa ma ya nya sma ra sid d+ham tu mo/_thams cad mkhyen gnyis nor bu rin chen gtsug gi rgyan//_dpal ldan dpal gyis 'byung gnas byang chub lam gyi sgron//_rnam grol chos kyi spyan ldan bla ma la btud nas //_gsung gi bdud rtsi mkha' 'gro'i gsang tshig spro bar bya//_jo bo chen po til+li pa dka' ba chen pos rtsal bas rnyed nas dka' ba bcu gnyis spyad/_de nas dbang gis thong dbye ba las/_rnal 'byor gyi dbang phyug til+li pa des/_dus khrod cig nas lus spangs la be phur btab pa bzhin 'gyur med du bzhugs/	dus gsum rgyal ba'i dgongs pa mkha' 'gro'i gsang tshig/_rdo rje theg pa'i snying po yid bzhin nor//_snod bcud mtshan ldan brda' yis de nyid mtshon// skal ldan rdo rje theg la sbyor thabs mchog//_tshul lugs bzang po bdag gi spro ba yis//_'gro rnams dbang gi don mthong de grol nas//_nyi shu rtsa bzhi'i yul gyi bdag por shog//_phyi rdul tshon la brten nas bum pa'i dbang bskur rin po che gsal ba'i sgron me zhes bya ba/_dpal ldan nA ro pa 'i phyag bzhes la sgro bkur gyi mtha' spangs ste//_ chu khyir gro ba lung du mar pa bu ti s mdzad pa'i phyag bzhes rdo rje theg pa'i dbang bskur mchog thob shog//_oM hriH ha ha huM huM phaT ://			
	MS. Tibet. a. 9.6 (R)																			6	nA ro pa	ནཱ་རོ་པ	dpal bde mchog snyan rgyud kyi smin?? lam las dbang gong ma gsum gyi cho ga rgyas par bzhugs	དཔལ་བདེ་མཆོག་སྙན་རྒྱུད་ཀྱི་སྨིན་ལམ་ལས་དབང་གོང་མ་གསུམ་གྱི་ཆོ་ག་རྒྱས་པར་བཞུགས	rI	རཱི	na mo gu ru/ dbang gong ma dngos bka' dang /_grol bka'o//_de la gnyis las/_spro ba dri ba dang /_dbang bskur ba'i//_spro ba dri ba ni/_kye ma bla ma/ kye ma sangs rgyas/_kye ma ngo mtshar rmad kyi chos/_zab pa chos 'byung dkyil 'khor du//_rang byung ye shes lta 'dod dam//_zhes brjod do//_slob mas kyang 'tshal zhes brjod//_lho nub tu ro snol ba'i steng du sdad par bsam mo//_gnyis pa dbang la gsum ste/_gsang ba'i dbang dang shes rab ye shes kyi dbang dang /_tshig dbang rin po che'i dbang ngo//	nyams rtags kyi 'char tshul ni//_gsang dbang gis/_'od gsal stong pa'i nyams rtags 'char/_shes rab ye shes kyi zag pa med pa'i bde ba'i nyams rtags 'char /_bzhi pa zung 'jug spros bral gyi nyams rtags 'char ro//_lnga pa mchod cing nye bar bsdu ba la gnyis te/_gtor ma mchod pa 'bul tshul dang /_bkra shis yi ge'i 'don tshul lo//_dang po la gsum las/_bla ma yi dam mchod pas mchod//_mkha' 'gro chos skyong gtor mas mchod//_rdo rje spun grogs tshogs kyis mchod//_gnyis pa bkra shis yi ge'i 'don tshul gong bzhin no//_rje btsun mar pa lo tsa ba 'i phyag bzhes zhang lo tsa ba s zin bris mdzad pa'o//			
	MS. Tibet. a. 9.7 (R)																			7	nA ro pa ; translated by Mar pa	ནཱ་རོ་པ	dpal 'khor lo sdom pa'i sgrubs thabs yid bzhin nor bu	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབས་ཐབས་ཡིད་བཞིན་ནོར་བུ	li	ལི	rgya gar skad du /_shrI gu hya rat+na tsin+ta ma Ni ma/_bod skad du/_dpal gsang ba rin po che yid bzhin nor bu zhes bya ba/_dpal 'khor lo sdom pa la phyag 'tshal lo//_mkha' mnyam sprin phung 'ja' tshon 'brug sgra sgrogs mtshungs dang //_nyi zla rin chen dra ba char rgyur glog 'gyu ba// rgya mtsho las ni yid bzhin nor bu 'o ma'i mtsho//_'khor los bsrubs dang bsrubs pa'i sbyor bas gnas 'dir rgyal//	dpal 'khor lo bde mchog gsang ba rin po che yid bzhin gyi nor bu/_dpal o rgyan gan+d+ho la'i gtsug lag khang nas dri med ye shes mkha' 'gro mas rje btsun tai lo pa la gdams pa/_dpal bde mchog 'khor lo'i sgrubs thabs snyan nas snyan du brgyud pa'i snying po dpal nA ro pa s mdzad pa rdzogs so/ /			
	MS. Tibet. a. 9.8 (R)																			8	'jigs med grags pa	འཇིགས་མེད་གྲགས་པ	dpal 'khor lo bde mchog gi sgrub thabs paN+Di ta nA ro pas mdzad pa	དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་སྒྲུབ་ཐབས་པཎྜི་ཏ་ནཱ་རོ་པས་མཛད་པ	lI	ལཱི	rgya gar skad du /_b+ha ga wAn shrI tsa kra sam+ba ra sU d+ha na/_bod skad du/_bcom ldan 'das dpal 'khor lo sdom pa'i sgrubs thabs zhes bya ba//_dpal he ru ka la phyag 'tshal lo//_dang por phyag rgya chen po la 'dun pa'i rnal 'byor pas//_bla ma'i rnal 'byor byas nas//_rnal 'byor gyi dbang phyug sgrub par bya ste//_de la gnas 'di dur khrod du mos la/_gdan ro'i steng du skra shig/_gcer bu kha lhor bltas te/_bdud rtsi ril bu khar bcug la/_sems can thams cad la phan pa dang bde ba'i don du /	zhal nas snyan du brgyud pa'i gdams pa/_yab dang 'brel ba'i dkyil 'khor rgyas par sgom pa'i lam thun mong ma yin pa mkha' 'gro'i gsung bzhin bla ma'i bka' lung ma nyams par kha che'i paN+Di ta mkhas pa chen po 'jigs med grags pa s mdzad pa yid bzhin nor bu zhes bya ba dkyil 'khor rgyas pa'i sgrubs thabs rdzogs so/_rgya gar gyi paN+Di ta mkhas pa nA ro pa nyid kyi zhal mnga' nas/_bod kyi lo ts+tsha ba mar pa chos kyi blo gros kyis puS+pa ha ri'i dgon pa r bsgyur cing zhus te gtan la phab pa'o//			
	MS. Tibet. a. 9.9 (R)																			9	nA ro pa ; translated by Mar pa	ནཱ་རོ་པ	yid bzhin nor bu'i mngon rtogs	ཡིད་བཞིན་ནོར་བུའི་མངོན་རྟོགས	e	ཨེ	dpal bde mchog 'khor lo la phyag 'tshal lo//_de la dpal 'khor lo sdom pa'i rgyid kyi dkyil 'khor du dbang thob cing dam tshig rjes us skyong ba'i rnal 'byor pas thog mar 'khor ba la skyo zhing tshe 'di nyid la mngon par rdzogs par sangs rgya bar 'dod pas/_ri bo nags chen la sogs par mchod pa'i yo byad/_ras bris dang lugs ma la sogs pa'i rten bkram nas stan bde ba la 'dug par bya'o/_de la lus bsam gtan gyi yan lag bzhi dang /_ngag rlung 'jug g.yo ba bcad de gnas pa/	mi khyab pa 'char ba ni dngos po'i gnas lugs yin no//_dpal bde mchog gsang ba rin po che yid bzhin nor bu'i mngon rtogs rgyas pa rje nA ro pa 'i gsung ji lta ba bzhin du mar pa bdag gis yongs su zhus te bsgyur ba'o// dge'o//			
UkOxU_014_Manuscript__Tib__b__20_1_(R).xml	MS. Tibet. b. 20.1 (R)	88 ff	bo-Latn-x-EWTS	470 x 80	350 x 50	Lam-rim.		chart	black	dbu can			poor	5				S.C. 33637, 33731. 25 Sept. 1905, donation by the Government of India.	Exposition of stages of the Mahāyāna path (lam rim)	1	sgam po pa	སྒམ་པོ་པ	dam chos yid bzhin gyi nor bu thar pa rin po che'i rgyan zhes bya ba / theg pa chen po'i lam gyi rim pa bshad pa	དམ་ཆོས་ཡིད་བཞིན་གྱི་ནོར་བུ་ཐར་པ་རིན་པོ་ཆེའི་རྒྱན་ཞེས་བྱ་བ།  ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་རིམ་པ་བཤད་པ						The text is incomplete: ff.24-109 plus 2 unnumbered folia	
UkOxU_015_Manuscript__Tib__b__20_2_(R).xml	MS. Tibet. b. 20.2 (R)	109 ff	bo-Latn-x-EWTS	400 x 70	330 x 50	Gcod (Buddhist rite)		chart	black	dbu med			poor	5		Folio 1 and 6 are missing. The book has the volume marker kha		S.C. 33637, 33731. 25 Sept. 1905, donation by the Government of India.	A biographical account of the gCod lineage holders	1			bla ma brgyud pa'i lo rgyus brgyud gtam mu tig phreng ba	བླ་མ་བརྒྱུད་པའི་ལོ་རྒྱུས་བརྒྱུད་གཏམ་མུ་ཏིག་ཕྲེང་བ			ma/_bster ma/ bzhung khrig chags/_khrig med/_phyi dka' tshoM zhibs rgyas kyis tshul du bstan pa/_nang le lag zhu lan kyi tshul du bstan pa/_bsang ba man ngag nyam len kyi tshul du bstan pa rnams nyam len du bril nas ston pa la/_yid ches zhing khung brtsun par bya ba'i phyir/_chos 'di'i bla ma rgyud pa'i lo rgyus/_brgyud stam mo tig phreng ba ces pa ston par byed do//_de la ring rgyud/_nye rgyud/_shin tu nye rgyud dang 3 yod pa la /_shin tu nye rgyud ni/_bsdod nas dag pa'i rang sems yin/	2 pa gdung 'dzin rus kyi rgyud pa dang /_don dam nyams rtogs kyi rgyud pa bya ba gnyis su yod pa las/_'u skol sgrub rgyud pa la don dam nyams rtogs kyi rgyud pa gal che/_de yang bla ma la nyams rtogs med na/_slob ma la byin rlabs mi 'byugs pas/_nyams rtogs dang ldan pa de yang /_mtho sangs rgyas nas ...//			
UkOxU_017_Manuscript__Tib__20_3_(R).xml	MS. Tibet. b. 20.3 (R)	4 ff	bo-Latn-x-EWTS	280 x 80	245 x 55	Gter ma		chart	black	dbu can			good	7				S.C. 33637, 33731. 25 Sept. 1905, donation by the Government of India.	A gter ma text on subjugation and bondage of enemies and malevolent spirits	1	gru gu yang waM		phas sgol 'joms byed rtsal chen gyi man ngag gru gu yang waM gi ster skor thob tshul nyi zla'i 'od zer	ཕས་སྒོལ་འཇོམས་བྱེད་རྩལ་ཆེན་གྱི་མན་ངག་གྲུ་གུ་ཡང་ཝཾ་གི་སྟེར་སྐོར་ཐོབ་ཚུལ་ཉི་ཟླའི་འོད་ཟེར			rgyud gsum don bsdus gang 'dul ma'i ngag//_gru sha'i yul mthar btsal kyang skyed dka' ba//_gu lang gdams pa'i yang zab ye waM zung //_gter bcud ston mkhas pad+ma'i 'byung gnas rgyal//_de yang phas sgol dgra dpung 'joms byed brtsal chen/_phyi nang gi gnyen por nag sgrub kyis sgo nas dgra sri srogs mnan chings kyis gdams pa gru gu yang wang gi gter sgor thob tshul la/	ban dgra glang snying mu stegs pham mdzad pa'i//_mthing 'bar rgyal po nyid la gsol ba 'debs//_smon lam dbang bskur sngon thob mdzad 'phrin las//_rgyas btab ma nyams chos bdag mkha' 'gros gtad//_'um bu tshal gyi brag ... //		The text is incomplete	
